"race_id","着順","馬番","馬","性","齢","斤量","騎手","走破時間","通過順","上がり","人気","オッズ","体重","体重変化","レース名","日付","開催","クラス","芝・ダート","距離","回り","馬場","天気","場id","場名"
"202401010101","1","5","ポッドベイダー","1","2","55","佐々木大","68.8","'1-1","33.9","1","1.2","462","-2","2歳未勝利","","","","1","1200","1","","1","01",""
"202401010101","2","2","ニシノクードクール","0","2","55","武藤雅","69.1","'2-2","34.1","4","10.2","452","-2","2歳未勝利","","","","1","1200","1","","1","01",""
"202401010101","3","3","ロードヴェルト","1","2","55","横山武史","69.4","'3-3","34.0","3","7.9","416","+6","2歳未勝利","","","","1","1200","1","","1","01",""
"202401010101","4","1","ルージュアマリア","0","2","55","永野猛蔵","70.0","'5-5","34.4","2","5.9","410","+6","2歳未勝利","","","","1","1200","1","","1","01",""
"202401010101","5","4","ロードヴァルカン","1","2","54","角田大河","70.1","'3-3","34.7","5","21.3","438","-2","2歳未勝利","","","","1","1200","1","","1","01",""
"202401010102","1","2","タミゼ","0","3","55","北村友一","59.5","'3-3","35.5","2","3.9","474","-2","3歳未勝利","","","","0","1000","1","","1","01",""
"202401010102","2","6","タマモアルタイル","1","3","57","武豊","60.0","'5-3","35.9","6","9.4","494","+4","3歳未勝利","","","","0","1000","1","","1","01",""
"202401010102","3","8","ウィスピースノー","0","3","54","角田大河","60.1","'8-8","35.3","9","44.4","434","0","3歳未勝利","","","","0","1000","1","","1","01",""
"202401010102","4","7","スキーサンダー","0","3","52","小林勝太","60.1","'2-2","36.2","1","3.9","474","-2","3歳未勝利","","","","0","1000","1","","1","01",""
"202401010102","5","10","ゴールドタリスマン","0","3","55","武藤雅","60.2","'6-6","35.8","10","90.0","424","+8","3歳未勝利","","","","0","1000","1","","1","01",""
"202401010102","6","3","コパマエチャン","0","3","52","長浜鴻緒","60.2","'1-1","36.4","8","16.0","476","0","3歳未勝利","","","","0","1000","1","","1","01",""
"202401010102","7","4","スリーボビー","1","3","57","永野猛蔵","60.2","'9-9","35.1","7","14.1","482","-4","3歳未勝利","","","","0","1000","1","","1","01",""
"202401010102","8","12","メトゥス","1","3","57","佐々木大","60.4","'6-6","36.0","4","6.1","458","+6","3歳未勝利","","","","0","1000","1","","1","01",""
"202401010102","9","9","ブートストラップ","1","3","54","川端海翼","61.1","'12-12","35.6","11","167.0","486","-6","3歳未勝利","","","","0","1000","1","","1","01",""
"202401010102","10","11","クミンフレイバー","0","3","55","鮫島克駿","61.2","'3-3","37.2","5","8.2","438","+4","3歳未勝利","","","","0","1000","1","","1","01",""
"202401010102","11","1","ロマンスヒコー","1","3","57","大野拓弥","61.4","'9-9","36.3","12","172.5","444","-8","3歳未勝利","","","","0","1000","1","","1","01",""
"202401010102","12","5","タイセイフォルテ","1","3","57","横山武史","61.8","'11-11","36.5","3","5.7","486","0","3歳未勝利","","","","0","1000","1","","1","01",""
"202401010103","1","4","メイショウソムリエ","1","3","57","武豊","106.9","'3-3-3-2","38.5","2","3.6","522","+14","3歳未勝利","","","","0","1700","1","","1","01",""
"202401010103","2","7","リアルペガサス","1","3","57","菱田裕二","107.6","'10-10-8-7","38.6","6","10.0","456","0","3歳未勝利","","","","0","1700","1","","1","01",""
"202401010103","3","6","クラウンクーロン","1","3","57","丹内祐次","107.8","'1-1-1-1","39.7","4","6.8","442","-6","3歳未勝利","","","","0","1700","1","","1","01",""
"202401010103","4","3","エナアニマル","1","3","57","横山和生","107.8","'12-12-10-9","38.5","5","9.7","450","+8","3歳未勝利","","","","0","1700","1","","1","01",""
"202401010103","5","1","ハテナビト","1","3","54","長浜鴻緒","108.1","'6-6-6-5","39.2","7","31.9","462","-4","3歳未勝利","","","","0","1700","1","","1","01",""
"202401010103","6","9","ポップスター","1","3","57","武藤雅","108.3","'14-14-14-14","38.1","12","214.5","510","-10","3歳未勝利","","","","0","1700","1","","1","01",""
"202401010103","7","14","ナムラミック","1","3","57","鮫島克駿","108.7","'8-9-6-7","39.9","10","106.0","484","+4","3歳未勝利","","","","0","1700","1","","1","01",""
"202401010103","8","5","ニースライト","0","3","55","柴田善臣","108.7","'10-10-10-10","39.3","9","80.5","472","-4","3歳未勝利","","","","0","1700","1","","1","01",""
"202401010103","9","2","ワカミヤノミコト","1","3","54","小林勝太","108.8","'12-13-13-11","39.0","13","257.8","472","0","3歳未勝利","","","","0","1700","1","","1","01",""
"202401010103","10","8","スターゲット","1","3","57","横山武史","109.3","'2-2-2-2","41.1","1","2.5","458","0","3歳未勝利","","","","0","1700","1","","1","01",""
"202401010103","11","11","プラチナバンド","1","3","57","永野猛蔵","109.4","'3-3-5-5","40.9","8","59.8","506","-2","3歳未勝利","","","","0","1700","1","","1","01",""
"202401010103","12","13","クリノアイリス","0","3","55","古川吉洋","109.5","'9-8-10-12","40.2","14","333.6","444","-12","3歳未勝利","","","","0","1700","1","","1","01",""
"202401010103","13","10","アオレレ","1","3","57","佐々木大","110.2","'6-6-9-12","41.1","11","140.2","430","-2","3歳未勝利","","","","0","1700","1","","1","01",""
"202401010103","14","12","ミッキースターダム","1","3","57","浜中俊","110.4","'3-5-3-4","42.0","3","6.8","450","-6","3歳未勝利","","","","0","1700","1","","1","01",""
"202401010106","1","12","オメガインペリアル","1","3","57","藤岡佑介","108.7","'2-3-4-5","35.1","1","2.3","460","+4","3歳未勝利","","","","1","1800","1","","1","01",""
"202401010106","2","1","マイネルバーテクス","1","3","57","丹内祐次","109.0","'7-7-6-7","35.2","2","4.9","484","-14","3歳未勝利","","","","1","1800","1","","1","01",""
"202401010106","3","5","サトノアライヴ","1","3","57","佐々木大","109.1","'13-14-10-7","35.1","9","32.6","436","0","3歳未勝利","","","","1","1800","1","","1","01",""
"202401010106","4","2","モズイージス","1","3","57","岩田康誠","109.3","'4-5-6-7","35.6","4","10.1","462","-2","3歳未勝利","","","","1","1800","1","","1","01",""
"202401010106","5","9","マリエッティ","0","3","52","川端海翼","109.4","'4-3-2-1","36.1","7","14.1","424","+8","3歳未勝利","","","","1","1800","1","","1","01",""
"202401010106","6","6","テイクノーティス","1","3","57","横山和生","109.5","'13-12-6-5","35.8","5","10.4","446","+6","3歳未勝利","","","","1","1800","1","","1","01",""
"202401010106","7","14","ゴールデンスロープ","1","3","54","長浜鴻緒","109.5","'2-2-2-2","36.2","10","59.2","428","-2","3歳未勝利","","","","1","1800","1","","1","01",""
"202401010106","8","7","キングブルー","1","3","57","菱田裕二","109.6","'6-5-6-7","35.8","8","21.0","480","0","3歳未勝利","","","","1","1800","1","","1","01",""
"202401010106","9","3","グローリアミノル","1","3","57","大野拓弥","109.7","'11-9-4-2","36.1","3","6.8","456","-4","3歳未勝利","","","","1","1800","1","","1","01",""
"202401010106","10","10","アイビーブリッツ","1","3","56","角田大河","110.0","'9-9-10-11","35.9","6","10.9","444","0","3歳未勝利","","","","1","1800","1","","1","01",""
"202401010106","11","8","グランドフューチャ","1","3","54","小林勝太","110.6","'7-7-10-11","36.6","12","152.9","470","0","3歳未勝利","","","","1","1800","1","","1","01",""
"202401010106","12","4","ライムストリート","1","3","57","古川吉洋","110.8","'11-12-14-14","36.4","14","312.1","474","-12","3歳未勝利","","","","1","1800","1","","1","01",""
"202401010106","13","13","ダンツタロン","1","3","57","柴田善臣","111.4","'1-1-1-2","38.1","11","143.7","482","-4","3歳未勝利","","","","1","1800","1","","1","01",""
"202401010106","14","11","クリノタンザナイト","1","3","57","亀田温心","111.5","'10-9-10-13","37.5","13","244.8","458","+2","3歳未勝利","","","","1","1800","1","","1","01",""
"202401010108","1","8","リフレクトザムーン","0","3","50","小林勝太","106.5","'2-3-2-1","39.1","4","6.8","446","-12","3歳以上1勝クラス","","","","0","1700","1","","1","01",""
"202401010108","2","7","フェルンマンボ","0","5","56","横山武史","106.8","'6-6-6-5","39.0","3","3.7","474","+4","3歳以上1勝クラス","","","","0","1700","1","","1","01",""
"202401010108","3","6","イッツオンリーユー","0","4","56","佐々木大","106.9","'4-4-4-4","39.4","2","3.5","474","0","3歳以上1勝クラス","","","","0","1700","1","","1","01",""
"202401010108","4","2","タマモプルメリア","0","3","52","角田大河","107.8","'2-2-1-2","40.5","1","2.6","450","-4","3歳以上1勝クラス","","","","0","1700","1","","1","01",""
"202401010108","5","5","ドレミファニー","0","4","56","横山和生","108.3","'7-7-4-2","40.8","6","18.8","512","+12","3歳以上1勝クラス","","","","0","1700","1","","1","01",""
"202401010108","6","9","チョッピー","0","5","56","永野猛蔵","108.4","'9-9-7-6","40.5","7","28.8","470","+4","3歳以上1勝クラス","","","","0","1700","1","","1","01",""
"202401010108","7","4","シュライフェ","0","4","56","黛弘人","109.7","'7-7-9-8","41.3","9","87.9","498","+12","3歳以上1勝クラス","","","","0","1700","1","","1","01",""
"202401010108","8","1","ポマール","0","3","53","丹内祐次","110.2","'1-1-2-7","42.8","8","39.6","452","+4","3歳以上1勝クラス","","","","0","1700","1","","1","01",""
"202401010108","9","3","アイスリンディ","0","3","53","亀田温心","111.7","'4-4-8-9","43.6","5","17.7","446","-8","3歳以上1勝クラス","","","","0","1700","1","","1","01",""
"202401010109","1","5","ミヤビブレイブ","0","4","56","横山和生","107.4","'10-10-1-1","35.4","6","17.1","468","-4","北辰特別(1勝)","","","","1","1800","1","","1","01",""
"202401010109","2","8","セイウンパシュート","1","4","58","永野猛蔵","107.6","'5-5-5-6","35.1","3","5.0","470","-4","北辰特別(1勝)","","","","1","1800","1","","1","01",""
"202401010109","3","6","アドミラルシップ","1","3","55","武豊","107.7","'2-2-2-2","35.6","1","2.7","472","+12","北辰特別(1勝)","","","","1","1800","1","","1","01",""
"202401010109","4","2","マイバラード","1","4","58","丹内祐次","107.9","'8-8-8-6","35.2","7","22.4","468","0","北辰特別(1勝)","","","","1","1800","1","","1","01",""
"202401010109","5","9","スノーブリザード","1","3","55","鮫島克駿","108.2","'1-1-3-3","36.0","8","49.0","494","-6","北辰特別(1勝)","","","","1","1800","1","","1","01",""
